LandProvince;SeaZone;x;y
bermuda;bermuda_island;4746;5168;x
th_artifical_stream;th_nether_cloud_bay_sea;15556;5173;x
wimbee;ossabaw_sound;4018;5161;x
koyu;udo_cape;13680;5162;x
th_scarlet_dream_bedchamber;th_norh_bank_of_misty_lake;15115;5165;x
izumi_satsuma;shimabara_bay;13619;5165;x
th_phantom_arsenal;th_lightless_deep_sea_north;15677;5161;x
th_scarlet_moonlight_tea_room;th_norh_bank_of_misty_lake;15137;5168;x
th_strange_rockwork;th_nether_cloud_bay_sea;15547;5159;x
th_yama_palace;th_kego_no_umi_sea;14280;5160;x
th_seven_star_summoning_chamber;th_east_bank_of_misty_lake;15184;5157;x
aguz;cape_hadid;7266;5160;x
jinghai_tongzhou;yantze_estuary;13192;5148;x
th_misfortune_swamp;th_west_bank_of_misty_lake;15000;5156;x
th_perfect_maid_armory;th_west_bank_of_misty_lake;15095;5146;x
th_great_fairy_treehouse;th_east_bank_of_misty_lake;15276;5154;x
haimen;wunansha_island;13225;5158;x
jiangyin;yantze_estuary;13171;5151;x
rugao;yantze_estuary;13179;5153;x
tybee;ossabaw_sound;4008;5147;x
naka_hyuuga;udo_cape;13676;5144;x
mogador;cape_hadid;7254;5141;x
th_suying_palace;th_kego_no_umi_sea;14268;5143;x
th_coin_eyes_bridge;th_lightless_deep_sea_north;15672;5147;x
th_kazaana_yamame_web;th_west_bank_of_misty_lake;15005;5136;x
th_isle_infinite_light;th_eternal_night_sea;14177;5144;x
th_fossil_coast;th_enma_judgment_bay_sea1;14211;5144;x
th_leaf_curtain_balcony;th_east_bank_of_misty_lake;15263;5141;x
th_desolate_courtyard;th_nether_cloud_sea;15475;5139;x
changshu;yantze_estuary;13187;5142;x
satsuma;amakusa_sea;13614;5141;x
th_hell_port;th_kego_no_umi_sea;14241;5141;x
chongming;yantze_estuary;13214;5134;x
ossabaw;ossabaw_sound;4001;5136;x
th_miasma_field;th_kego_no_umi_sea;14238;5138;x
kwapa;colorado_delta;2469;5133;x
th_paper_doll_village;th_lightless_deep_sea_north;15678;5136;x
north_hia_ced_oodham;colorado_delta;2503;5122;x
kunshan;yantze_estuary;13209;5130;x
kagoshima;noma_cape;13621;5125;x
kuwabara;sata_cape;13638;5133;x
soo;sata_cape;13643;5132;x
th_yin_yang_customs;th_kego_no_umi_sea;14255;5136;x
th_ice_fariy_island;th_east_bank_of_misty_lake;15236;5124;x
th_yosakura_kaidou_sakura_fubuki_sandou;th_nether_cloud_sea;15472;5126;x
miyazaki;udo_cape;13674;5127;x
th_isle_infinite_light_coast;th_eternal_night_sea;14185;5121;x
th_silver_blade_corridor;th_east_bank_of_misty_lake;15254;5121;x
kimotsuki;sata_cape;13638;5122;x
th_scarlet_gaze_balcony;th_misty_lake;15182;5118;x
koleeu;colorado_delta;2464;5105;x
sapelo;ossabaw_sound;3997;5121;x
th_snow_gloem_factory;th_soul_sea_location;15566;5119;x
jiading;yantze_estuary;13217;5121;x
th_kazaana_webway;th_west_bank_of_misty_lake;15000;5114;x
th_eternal_rose_maze;th_west_bank_of_misty_lake;15090;5114;x
th_paper_windmill_garden;th_lightless_deep_sea;15689;5119;x
minamimorokata;shibushi_bay;13658;5118;x
th_the_beach;th_lightless_deep_sea;15717;5110;x
ibusuki;sata_cape;13629;5106;x
th_yosakura_kaidou_gyaku_ben_gawa;th_nether_cloud_sea;15468;5113;x
th_south_aokigahara_forest;th_lightless_deep_sea;15702;5112;x
nanhui;hangzhou_bay;13229;5083;x
tafedna;cape_sim;7242;5101;x
th_magical_power_unit_area;th_nether_cloud_sea;15481;5106;x
th_greater_kitchen;th_soul_sea_location;15574;5093;x
th_crimson_vein_mine;th_east_bank_of_misty_lake;15242;5109;x
oosumi;sata_cape;13640;5101;x
th_hole_of_the_border;th_eternal_night_sea;14194;5098;x
tacatacaru;altamaha_sound;3989;5101;x
south_hia_ced_oodham;tecopa_cape;2545;5069;x
th_guardian_golem_shed;th_misty_lake;15172;5099;x
th_scarlet_danmaku_proving_ground;th_misty_lake;15224;5097;x
th_trail_marsh_entrance;th_west_bank_of_misty_lake;15003;5092;x
th_monitoring_station_of_borders;th_nether_cloud_sea;15500;5089;x
th_lost_temple;th_lightless_deep_sea;15717;5097;x
th_midnight_blooming_garden;th_mermaid_bay_sea;15121;5092;x
th_scarlet_moonlight_fountain_plaza;th_mermaid_bay_sea;15129;5096;x
th_trail_stones_spring;th_west_bank_of_misty_lake;15015;5089;x
th_main_gate_plaza;th_misty_lake;15148;5083;x
th_bull_head_village;th_eternal_night_sea;14201;5082;x
mocama;altamaha_sound;3985;5080;x
ait_daoud;cape_sim;7242;5079;x
th_isle_no_self_rock;th_eternal_night_sea;14191;5075;x
th_drown_fleet_port;th_lightless_deep_sea;15725;5085;x
th_black_beard_bay;th_ghost_sea_location;15742;5085;x
nakipa;hares_eye_lagoon;2445;5004;x
th_rock_gardenv;th_soul_sea_location;15583;5063;x
th_eternal_dusk_beach;th_misty_lake;15212;5074;x
kumage_oosumi;sata_cape;13649;5070;x
th_old_hell_geyser_trail;th_mermaid_bay_sea;15059;5061;x
th_hakugyokurou;th_soul_sea_location;15595;5077;x
huating;hangzhou_bay;13215;5075;x
th_trail_pillars_jet;th_west_bank_of_misty_lake;15017;5074;x
th_ghost_village;th_ghost_sea_location;15771;5063;x
haiyan;qiantang_estuary;13197;5063;x
mobile;mobile_bay;3688;5058;x
th_purgatorial_foundry_port;th_eternal_night_sea;14198;5069;x
agadir;agadir_bay;7249;5061;x
th_wuchang_shore;ogasawara_islands_high_sea_1;14191;5031;x
th_maintenance_device_area;th_nether_cloud_sea;15504;5058;x
pensacola;pensacola_bay;3726;5058;x
th_isle_emptiness_islands;th_eternal_night_sea;14177;5053;x
timucua;altamaha_sound;3986;5057;x
gomu;nagata_cape;13623;5053;x
th_crimson_creek_bridge;th_misty_lake;15196;5057;x
choctawhatchee;pensacola_bay;3760;5058;x
changguo;hangzhou_bay;13251;5042;x
machul;iranian_bay;9930;5058;x
pascagoula;biloxi_bay;3655;5053;x
quban;iranian_bay;9926;5046;x
haining;qiantang_estuary;13181;5056;x
biloxi;biloxi_bay;3630;5051;x
hangzhou;qiantang_estuary;13167;5050;x
th_onsen_pool_hellfish;th_mist_channel_sea_north;15040;5031;x
xiica_hai_iic_coii;xazl_iimt_island;2562;5026;x
abadan;kuwait_bay;9900;5027;x
th_crimson_tide_harbor;th_misty_lake;15174;5041;x
watappo;saint_andrew_bay;3800;5031;x
th_giant_garden;th_ghost_sea_location;15786;5048;x
massa_MOR;agadir_bay;7248;5036;x
xiaoshan;qiantang_estuary;13170;5048;x
cixi;hangzhou_bay;13222;5044;x
hendijan;iranian_bay;9953;5036;x
bandar_deylam;iranian_bay;9972;5039;x
yuyao;qiantang_estuary;13199;5046;x
th_secret_path_to_the_lakeshore;th_mermaid_bay_sea;15102;5039;x
shaoxing;qiantang_estuary;13181;5042;x
shangyu;qiantang_estuary;13190;5043;x
bogue_chitto;biloxi_bay;3614;5041;x
th_castel_ruins;th_phantom_reef_sea;15565;5016;x
bulbancha;biloxi_bay;3613;5032;x
anhayca;apalachee_bay;3849;5028;x
th_north_new_world_port;th_phantom_reef_sea;15477;5034;x
azile;apalachee_bay;3881;5028;x
dinghai;hangzhou_bay;13238;5031;x
mayaca;st_augustine_inlet;3993;5022;x
th_tomb_of_swords;th_netherworld_sea_location;15806;5013;x
zuwayr;kuwait_bay;9892;5025;x
th_maze_hedge;th_misty_lake;15167;5030;x
th_south_new_world_port;th_phantom_reef_sea;15475;5029;x
suez;gulf_suez;9173;5025;x
th_flandres_playground;th_misty_lake;15150;5023;x
th_onsen_street_market;th_mist_channel_sea_north;15024;5012;x
th_steam_shroud_atoll;th_mist_channel_sea_north;15026;4994;x
th_yakumo_beach;th_hakurei_inland_sea;15355;5016;x
th_black_clan;th_hakurei_inland_sea;15374;5026;x
el_jundi;gulf_suez;9181;5002;x
th_scarlet_fog_bog;th_misty_lake;15161;5025;x
th_asia_port;th_phantom_reef_sea;15478;5017;x
th_cats_amusement_park;th_hakurei_inland_sea;15387;5011;x
th_purge_ironworks_port;ogasawara_islands_high_sea_1;14202;5017;x
th_wakasagihime_manor;th_misty_lake;15134;5017;x
ciwat;vermillion_bay;3502;5010;x
tiznit;agadir_bay;7236;5016;x
jannaba;khark_island;9989;5007;x
caux;trinity_lagoon;3374;5017;x
cochimi;xazl_iimt_island;2520;4998;x
otse;vermillion_bay;3451;5018;x
saint_anthony;gulf_suez;9173;5000;x
orcoquisac;trinity_lagoon;3385;5006;x
atchafalaya;atchafalaya_bay;3547;4985;x
yinxian;sanmen_bay;13236;5014;x
chawasha;barataria_bay;3605;4992;x
pachina;trinity_lagoon;3414;5013;x
potano;waccasassa_bay;3904;4994;x
toyal;trinity_lagoon;3368;5011;x
xiangshan;sanmen_bay;13240;4998;x
th_africa_port;th_phantom_reef_sea;15478;5011;x
fenghua;sanmen_bay;13226;5006;x
th_depression_of_chaos_qi;ogasawara_islands_high_sea_1;14203;5000;x
jororo;st_augustine_inlet;4004;4991;x
kazimah;kuwait_bay;9873;5005;x
th_europe_port;th_phantom_reef_sea;15480;5004;x
th_endless_tea_party;th_phantom_reef_sea;15576;4996;x
han;trinity_lagoon;3372;4992;x
th_yakumo_bay_shiun_misaki;th_hakurei_inland_sea;15353;4997;x
ifni;cape_draa;7222;4991;x
aqaba;gulf_aqaba;9277;4997;x
th_calico_clan;th_hakurei_inland_sea;15402;5003;x
tahejoc;kino_bay;2584;4978;x
ninghai;sanmen_bay;13225;4989;x
th_youki_port;th_netherworld_sea_location;15806;4990;x
qurain;kuwait_bay;9882;4995;x
bandar_rig;khark_island;9996;4997;x
th_rans_room;th_hakurei_inland_sea;15408;4980;x
haql;gulf_aqaba;9279;4985;x
th_coral_corridor;th_mist_channel_sea_north;15060;4994;x
th_chens_room;th_gap_sea_location;15481;4974;x
teguise;southern_fuerteventura_coast;7079;4977;x
th_borei_genya;th_mirage_undercurrent_sea;15721;4994;x
th_24th_graveyard;th_void_sea_location;15652;4993;x
th_dankyu_kyuuryou;th_mirage_undercurrent_sea;15697;4987;x
th_kenny_cementry;th_mirage_undercurrent_sea;15676;4987;x
th_onsen_pool_seishin;th_mist_channel_sea_north;15018;4990;x
reyshahr;bushehr_bay;10003;4972;x
th_thousand_petal_path;th_hakurei_inland_sea;15355;4990;x
th_komachis_hideout;ogasawara_islands_high_sea_1;14200;4974;x
th_diavolo_crimson_hotel;th_void_sea_location;15636;4985;x
th_konpaku_fosse;th_mirage_undercurrent_sea;15747;4985;x
th_front_hill_sakura;th_hakurei_inland_sea;15376;4963;x
th_boiling_tide_channel_port;th_mist_channel_sea_north;15010;4980;x
th_tide_song_cavern;th_mist_channel_sea_north;15061;4976;x
uqueten;waccasassa_bay;3923;4976;x
noul_lamta;cape_draa;7213;4979;x
nuweiba;gulf_aqaba;9269;4960;x
xianzhu;sanmen_bay;13223;4976;x
th_tomitake_marsh;th_void_sea_location;15620;4979;x
th_youki_monument;th_mirage_undercurrent_sea;15777;4967;x
faran;gulf_suez;9201;4964;x
th_death_metal_rock_end;th_void_sea_location;15602;4964;x
ash_shuaybah;zawr_cape;9896;4951;x
saint_paul_anchorite;gulf_suez;9187;4960;x
surruque;cape_canaveral;4016;4949;x
aouint_yghomane;cape_draa;7196;4967;x
capoque;brazos_mouth;3347;4965;x
th_dragon_breath_vent;th_mist_channel_sea_south;15012;4951;x
makna;cape_muhammad;9271;4916;x
tocaste;tampa_bay;3931;4910;x
tedote;north_western_tenerife_coast;6872;4956;x
linhai;yueqing_bay;13226;4957;x
th_fantasy_canal_harbor;th_mist_channel_sea_north;15064;4957;x
xiica_xnaai_iic_coii;sahuimaro_coast;2611;4940;x
th_hakurei_boundary_marker_wharf;th_mist_channel_sea_north;15061;4946;x
maxorata;southern_gran_canaria_coast;7039;4926;x
karankawa;matagorda_bay;3314;4951;x
th_yukaris_room;th_gap_sea_location;15455;4956;x
mariame;matagorda_bay;3296;4937;x
th_hazbin_hotel;ogasawara_islands_high_sea_1;14200;4946;x
tantan;es_semara_coast;7151;4929;x
huangyan;yueqing_bay;13223;4951;x
khormoj;khann_cape;10022;4934;x
aguere;northern_tenerife_coast2;6939;4942;x
th_lost_courtyard;th_southern_hakurei_gulf_west_sea;15424;4922;x
amami_ooshima;miyako_cape;13587;4933;x
mti_pa;eugenia_cape;2479;4878;x
el_tor;gulf_suez;9220;4930;x
wenling;yueqing_bay;13218;4933;x
ras_gharib;cape_muhammad;9226;4895;x
th_hell_terraced_springs;th_mist_channel_sea_south;15015;4929;x
copane;corpus_christi_bay;3273;4916;x
saint_katrine;gulf_aqaba;9260;4929;x
th_ravine_cherry_path;th_first_snow_sea_north;15360;4932;x
ho_bay;cape_canaveral;4024;4918;x
yueqing;yueqing_bay;13204;4921;x
th_expedition_port;ogasawara_islands_high_sea_2;14230;4920;x
th_hell_solitus_shore;th_abiki_zankyo_umi_sea2;14570;4914;x
hipalan;southern_tenerife_coast2;6879;4905;x
th_hell_solitus_reef;th_abiki_zankyo_umi_sea2;14545;4927;x
tamaraceite;southern_gran_canaria_coast;6986;4903;x
th_austere_sleeping_chamber;th_first_snow_sea_north;15352;4920;x
th_muenzuka_junk_hill;th_abiki_zankyo_umi_sea2;14530;4921;x
th_harbor_masters_observatory;th_mist_channel_sea_south;15042;4913;x
bandar_deyr;khann_cape;10030;4913;x
th_hecatia_temple;ogasawara_islands_high_sea_2;14247;4920;x
aynuna;cape_muhammad;9289;4920;x
jannah;mishab_cape;9918;4903;x
th_oni_colosseum_location;th_mist_channel_sea_south;14998;4915;x
th_hell_muenzuka_lamp;th_abiki_zankyo_umi_sea2;14523;4913;x
shuangxi;yueqing_bay;13186;4917;x
th_port_of_goddess;ogasawara_islands_high_sea_2;14265;4904;x
laayoune;cape_juby;7078;4862;x
al_muwaylih;cape_muhammad;9297;4910;x
yongjia;yueqing_bay;13191;4915;x
guaimas;haro_cape;2648;4910;x
tokunoshima;hedo_cape;13555;4900;x
th_tea_room_corridor;th_first_snow_sea_north;15347;4899;x
mocozo;tampa_bay;3939;4905;x
yoreme;huivulau_bay;2674;4865;x
piguique;corpus_christi_bay;3253;4883;x
ruian;shacheng_harbour;13188;4903;x
th_muezuka_re_hec;th_shakunetsu_shiogama_sea3;14494;4903;x
siraf;nayband_gulf;10081;4891;x
th_stranded_soul_shoal;th_shakunetsu_shiogama_sea3;14480;4895;x
th_hell_solitus_tide;th_abiki_zankyo_umi_sea2;14587;4886;x
th_hell_hecate_cape;ogasawara_islands_high_sea_2;14287;4896;x
ozita;san_carlos_bay;3951;4853;x
th_silent_bet_den;th_fog_channel_stratts_sea;14975;4894;x
ais;palm_beach;4038;4877;x
pingyang;shacheng_harbour;13179;4880;x
th_waste_ink_pool;ogasawara_islands_high_sea_2;14287;4877;x
th_steam_bath_hospital;th_abiki_zankyo_umi_sea2;14605;4871;x
th_hakurei_coast;th_mist_channel_sea_south;15049;4887;x
th_sunken_ship_graveyard;th_shakunetsu_shiogama_sea3;14456;4883;x
duba;north_tihamah_coast;9317;4876;x
th_oni_arena_location;th_fog_channel_stratts_sea;14965;4883;x
th_hakurei_seaside;th_mirror_gulf_sea;15134;4883;x
th_sacred_torii_beach;th_mirror_gulf_sea;15109;4866;x
th_white_sand_beach;th_mirror_gulf_sea;15149;4882;x
th_hell_steamer_valley;ogasawara_islands_high_sea_2;14293;4875;x
th_kazami_trail;th_first_snow_sea_north;15321;4875;x
cadegomo;concepcion_bay;2594;4861;x
th_feral_beast_menagerie;th_fog_channel_stratts_sea;14965;4880;x
th_sunken_lighthouse;th_kyoukan_rekka_sea;14417;4875;x
safaga;safaga_island;9239;4850;x
th_sunken_shell_wall;th_kyoukan_rekka_sea;14441;4865;x
al_jubayl;alaly_cape;9948;4870;x
tinapihuaya;corpus_christi_bay;3256;4868;x
th_giant_gourd_aging_hall;th_fog_channel_stratts_sea;14975;4861;x
th_komainu_coastal_guard_post;th_mirror_gulf_sea;15165;4866;x
th_sea_view_cliff;th_hakurei_dreamlike_bay_sea;15069;4864;x
th_repent_forest_door_hell;th_kyoukan_rekka_sea;14390;4858;x
gamrun;strait_hormuz;10255;4867;x
th_central_boulevard_enma;th_oni_feast_bay_sea;14889;4861;x
guacata;palm_beach;4048;4844;x
changshi;shacheng_harbour;13164;4852;x
th_harbor_magma_wharf;th_kokujou_kou_kai_sea;14652;4853;x
th_nuclear_fusion_center;th_kokujou_kou_kai_sea;14666;4858;x
minab;strait_hormuz;10275;4864;x
bandar_khamir;strait_hormuz;10240;4861;x
th_harbor_fuel_depot;th_kokujou_kou_kai_sea;14633;4856;x
hormuz;strait_hormuz;10250;4852;x
nakijin;hedo_cape;13518;4854;x
th_pillar_of_tears_islet;th_kyoukan_rekka_sea;14383;4851;x
th_bustling_feast_gakidou;th_oni_feast_bay_sea;14867;4856;x
al_azlam;north_tihamah_coast;9330;4852;x
th_penitent_sinners_coast;ogasawara_islands_high_sea_2;14285;4852;x
kish;kish_island;10142;4840;x
th_oni_harbor_location;th_oni_feast_bay_sea;14897;4853;x
senderk;strait_hormuz;10285;4848;x
th_vein_of_living_jade;th_first_snow_sea_north;15321;4855;x
huatabampo;agiabampo_bay;2713;4834;x
lucayoneque;abaco_coast;4177;4836;x
th_seaside_promenade;th_southern_hakurei_gulf_sea;15191;4834;x
monqui;loreto_bay;2624;4807;x
al_qatif;alaly_cape;9968;4848;x
th_burden_shedding_beach_port;th_shakunetsu_shiogama_sea;14341;4845;x
th_oni_quarters_street;th_oni_feast_bay_sea;14907;4851;x
th_hoshiguma_bar;th_oni_feast_bay_sea;14919;4839;x
th_cape_lighthouse;th_hakurei_dreamlike_bay_sea;15066;4833;x
tugumlepen;padre_island;3258;4825;x
th_hell_flayed_coast;th_shakunetsu_shiogama_sea;14327;4827;x
th_center_energy_corridors;th_kokujou_kou_kai_sea;14667;4839;x
bandar_lengeh;tangeh_khoran_strait;10197;4836;x
fuan;sansha_bay;13140;4844;x
th_peninsula_lighthouse;th_first_snow_sea_north;15340;4845;x
bahama;bimini_channel;4131;4835;x
ningde;sansha_bay;13136;4839;x
caloosahatchee;san_carlos_bay;3956;4831;x
bandar_charak;kish_island;10160;4840;x
urasoe;zanpa_cape;13510;4832;x
th_sake_laden_wharf;th_oni_feast_bay_sea2;14849;4837;x
th_yeast_wraith_garden;th_fog_channel_stratts_sea;14966;4834;x
th_hell_peninsula_main;ogasawara_islands_high_sea_2;14271;4830;x
th_submerged_foundation_reef;th_oni_feast_bay_sea2;14837;4827;x
al_wajh;north_hijaz_coast;9350;4813;x
sirik;strait_oman;10293;4811;x
th_windbreak_pine_forest;th_first_snow_sea_north;15353;4826;x
th_fermentation_blood_pool;th_oni_feast_bay_sea;14927;4827;x
th_east_coast_rocks;th_hakurei_dreamlike_bay_sea;15055;4826;x
luoyuan;sansha_bay;13138;4827;x
th_laser_energy_storage_warehouse;th_jigoku_shindo_trench_sea2;14672;4806;x
sayhat;gulf_bahrein;9972;4803;x
bojador;cape_bojador;7021;4777;x
el_qoseir;safaga_island;9249;4817;x
th_wine_cellar;th_southern_hakurei_gulf_sea;15223;4819;x
lianjiang;sansha_bay;13143;4817;x
th_oni_drunken_sandbank_market;th_hai_goku_reefs_sea2;14951;4808;x
th_moonlight_cellar;th_southern_hakurei_gulf_sea;15249;4821;x
tequemapo;chokoloskee_bay;3980;4791;x
oozato;kin_bay;13513;4815;x
julfar;shaykh_masud_cape;10243;4802;x
mayaimi;biscayne_bay;4045;4796;x
th_barrier_nexus;th_first_snow_sea;15280;4813;x
ahome;ohuira_bay;2726;4775;x
th_hell_stone_plains_island;ogasawara_islands_high_sea_3;14230;4802;x
th_hell_blood_cape;ogasawara_islands_high_sea_3;14258;4813;x
th_village_lane_bone;th_oni_feast_bay_sea2;14821;4812;x
manama;gulf_bahrein;9988;4796;x
th_oni_brewery_core;th_hai_goku_reefs_sea2;14942;4799;x
th_vein_of_living_jade_port;th_first_snow_sea;15318;4801;x
th_seafood_drying_field;th_first_snow_sea;15303;4810;x
zubarah;gulf_bahrein;10007;4784;x
th_reactor_coolant_circulation_center;th_jigoku_shindo_trench_sea;14716;4795;x
th_tungsten_disulfide_manufacturing_site;th_jigoku_shindo_trench_sea;14739;4807;x
minxian;sansha_bay;13137;4806;x
th_hell_pipes_outer;th_jigoku_shindo_trench_sea;14753;4794;x
th_hell_river_slag;th_oni_feast_bay_sea2;14822;4797;x
changle_fujian;sansha_bay;13137;4794;x
atanagunypacam;madre_lagoon;3251;4758;x
al_huwaila;matbakh_cape;10041;4783;x
bandar_e_jask;cape_jask;10325;4780;x
khor_fakkan;hamra_cape;10259;4759;x
al_uqayr;gulf_bahrein;9989;4768;x
fuqing;sansha_bay;13137;4777;x
th_hell_tribunal;th_jigoku_shindo_trench_sea;14789;4757;x
guaycura;comondu_coast;2604;4715;x
al_hawra;shibara_archipelago;9373;4768;x
al_dhaid;northern_trucial_coast;10222;4775;x
tequesta;florida_bay;4021;4752;x
jagin_zir;cape_kalat;10361;4774;x
sonamiani;sonmiani_bay;10712;4767;x
eglat_faisal;gulf_bahrein;10001;4752;x
eleuthera;torque_ocean;4219;4752;x
zarabad;cape_kalat;10388;4766;x
sinaloa;talchichintle_island;2764;4749;x
putian;xinghua_bay;13117;4759;x
pasni;indian_coast3;10588;4763;x
ormara;ormara_coast;10636;4758;x
al_tiz;chabahar_bay;10439;4760;x
sharjah;northern_trucial_coast;10210;4763;x
hinglaj;sonmiani_bay;10680;4762;x
al_bidda;abu_gamys_cape;10041;4739;x
guarungube;florida_keys;3991;4725;x
basai;santiao_cape;13234;4753;x
dubai;southern_trucial_coast;10183;4734;x
gwadar;indian_coast2;10533;4753;x
manora;sonmiani_bay;10727;4745;x
abacoa;torque_ocean;4154;4718;x
gwatar;jiwani_bay;10489;4747;x
huian;xinghua_bay;13104;4739;x
umluj;shibara_archipelago;9382;4741;x
kulun;tamsui_estuary;13202;4747;x
shinas;hamra_cape;10263;4730;x
kavalan;yonaguni_strait;13238;4728;x
culiacan;lucenilla_peninsula;2794;4709;x
al_mashqar;gulf_bahrein;10002;4733;x
jinjiang;xiamen_harbour;13087;4718;x
tamaulipeco;madre_lagoon;3244;4718;x
dakhla;dakhla_bay;6973;4674;x
miyakojima;higashihenna_cape;13391;4729;x
taokas;tamsui_estuary;13191;4727;x
sir_bani_yas;abu_gamys_cape;10062;4698;x
laribandar;indian_coast6;10753;4710;x
guanima;central_great_bahama_bank;4252;4707;x
nanan_quanzhou;xiamen_harbour;13080;4718;x
tongan;xiamen_harbour;13071;4714;x
abu_dhabi;abu_abyad_island;10158;4706;x
ash_shibahah;yanbu_harbour;9397;4702;x
al_udayd;abu_gamys_cape;10036;4711;x
ishigaki;yaeyama_islands;13350;4706;x
yenecamu;pulmo_cape;2699;4666;x
suhar;tehama_coast;10274;4709;x
pakuali;yonaguni_strait;13236;4708;x
longxi;xiamen_harbour;13065;4707;x
iriomote;yaeyama_islands;13325;4697;x
marawah;abu_abyad_island;10128;4692;x
papora;zhuoshui_estuary;13175;4701;x
saham;tehama_coast;10284;4692;x
zhangpu;xiamen_harbour;13058;4689;x
babuza;zhuoshui_estuary;13168;4687;x
aydhab;cape_hadarba;9334;4611;x
truku;chilai_cape;13229;4691;x
guanahani;long_island_coast;4284;4663;x
yanbu;south_hijaz_coast;9429;4683;x
quetzalla;mazatlan_coast;2820;4681;x
amis;chilai_cape;13224;4663;x
al_khaburah;tehama_coast;10296;4682;x
muhammad_tur;indian_coast7;10776;4674;x
zhaoan;dongshan_bay;13032;4669;x
piaxtla;mazatlan_coast;2830;4663;x
rustaq;tehama_coast;10312;4675;x
lakhpat;indian_coast8;10810;4651;x
lloa;zhuoshui_estuary;13140;4661;x
nakhal;fujairah_coast;10328;4670;x
maratine;tamaulipas_coast;3243;4659;x
al_jar;south_hijaz_coast;9447;4656;x
exuma;central_great_bahama_bank;4241;4661;x
as_sib;fujairah_coast;10341;4668;x
masqat;fujairah_coast;10356;4665;x
sanrao;dongshan_bay;13019;4661;x
haiyang;dongshan_bay;13014;4654;x
mazatlan;mazatlan_coast;2843;4645;x
jieyang;dongshan_bay;12997;4649;x
chaoyang;dongshan_bay;13003;4640;x
siraya;pescadores_strait;13155;4635;x
west_sabaneneque;west_sabana_archipelago;4017;4636;x
qalhat;abu_dawood_cape;10383;4629;x
guanimar;west_sabana_archipelago;3996;4636;x
habana;havana_bay;3957;4640;x
al_juhfah;central_tihamah_coast;9461;4619;x
qasba;indian_coast63;11815;4629;x
chandpur;indian_coast63;11815;4630;x
central_sabaneque;west_sabana_archipelago;4042;4627;x
jumento;long_island_coast;4310;4604;x
huilai;jieshi_bay;12986;4623;x
chiametlan;huizache_lagoon;2866;4616;x
pantlan;chavarria_bar;3239;4610;x
marien_cuba;east_colorados_archipelago;3912;4629;x
kapilkot;indian_coast9;10856;4614;x
makatao;tapeng_bay;13179;4590;x
guaniguanico;east_colorados_archipelago;3885;4619;x
kobirhat;indian_coast63;11844;4601;x
shahbazpur;indian_coast63;11830;4584;x
panyu;pearl_river_delta;12855;4615;x
dongguan;pearl_river_delta;12863;4614;x
haifeng;jieshi_bay;12940;4613;x
lufeng_haifeng;jieshi_bay;12965;4614;x
shunde;pearl_river_delta;12851;4617;x
sabana;east_sabana_archipelago;4082;4606;x
pingshan_huiyang;victoria_harbour;12912;4606;x
guishan;victoria_harbour;12907;4611;x
sitakunda;indian_coast63;11859;4605;x
xiangshan_xinhui;guanghai_bay;12847;4571;x
baoan_dongguan;victoria_harbour;12901;4600;x
batanabo;batabano_gulf;3953;4607;x
qudayd;central_tihamah_coast;9469;4600;x
nagnes;indian_coast9;10872;4601;x
sur;hadd_cape;10409;4603;x
paiwan;lan_island;13196;4576;x
al_kuwayra;cape_blanc;6918;4557;x
east_sabaneque;camaguey_archipelago;4126;4591;x
guanamacabibes;cape_corrientes;3854;4562;x
dwarka;indian_coast9;10841;4590;x
guanfu;victoria_harbour;12890;4582;x
hanabana;cochinos_bay;3980;4580;x
acaponeta;nayarit_coast;2880;4589;x
chittagong;indian_coast63;11867;4585;x
mabuya;camaguey_archipelago;4153;4575;x
panuco;tamiahua_lagoon;3243;4572;x
khulays;central_tihamah_coast;9467;4582;x
khambat;indian_coast15;10997;4585;x
chandrawip;indian_coast62;11817;4585;x
kaua_i;makahuena_point;421;4568;x
danduka;indian_coast15;10984;4574;x
broach;indian_coast15;10990;4569;x
jagua;cienfuegos_bay;4026;4573;x
kulpi;indian_coast60;11705;4553;x
barguna;indian_coast62;11789;4568;x
xinhui;guanghai_bay;12838;4580;x
aztatlan;nayarit_coast;2882;4569;x
tamluk;indian_coast60;11703;4569;x
guanghai;guanghai_bay;12823;4557;x
east_sundarban;indian_coast61;11765;4560;x
chakaria;indian_coast63;11870;4557;x
asfan;central_tihamah_coast;9462;4570;x
jalan_buani_buali;ar_ruays_cape;10378;4525;x
guamuhaya;cienfuegos_bay;4043;4559;x
caycos;turks_islands_passage;4426;4552;x
siguanea;east_canarreos_archipelago;3936;4546;x
chhaya;indian_coast10;10855;4552;x
jaynagar;indian_coast61;11726;4552;x
west_sundarban;indian_coast61;11739;4549;x
sihor;indian_coast15;10982;4555;x
anyuan_lianzhou;qinzhou_bay;12637;4553;x
kanthi;indian_coast60;11687;4552;x
ruxi;qinzhou_bay;12623;4548;x
ozuluama;tamiahua_lagoon;3254;4548;x
yangjiang;guanghai_bay;12790;4555;x
magdalenas;north_aztatlan;2843;4542;x
hepu;tieshan_harbour;12670;4538;x
o_ahu;maalaea_bay;499;4530;x
magon;cienfuegos_bay;4070;4548;x
duling;zhanjiang_harbour;12775;4544;x
jeddah;ghurab_island;9471;4529;x
titsimin;lagartos_coast;3675;4547;x
